player,recent_form,role,predicted_points,credits
S Sriram,27.0,allrounder,30.492904928597163,8
BJ Rohrer,27.0,allrounder,30.492904928597163,8
Ishan Kishan,40.2,allrounder,30.37659407353734,8
AK Markram,47.4,allrounder,30.2454234372588,8
JM Kemp,24.0,allrounder,30.229703614813292,8
DJ Hussey,32.4,allrounder,30.188220652363217,8
M Ntini,40.6,allrounder,30.18434562208144,8
B Kumar,30.8,allrounder,30.056647456085983,8
MN Samuels,30.8,allrounder,30.056647456085983,8
M Vijay,1.3333333333333333,allrounder,29.870260461760452,7
OF Smith,32.8,allrounder,29.75509643098907,7
KMA Paul,44.4,allrounder,29.68755571151173,7
DJ Mitchell,40.4,allrounder,29.571981060976572,7
AM Rahane,37.8,allrounder,29.43531580762574,7
MJ Lumb,34.4,batsman,29.28207630383154,7
Salman Butt,34.4,batsman,29.28207630383154,7
MJ Clarke,9.25,allrounder,29.06927972027972,7
Ramandeep Singh,52.0,allrounder,29.041467468181178,7
L Ngidi,52.0,allrounder,29.041467468181178,7
Karanveer Singh,27.4,allrounder,28.957442885460626,7
M Kartik,27.4,allrounder,28.957442885460626,7
SE Bond,27.4,allrounder,28.957442885460626,7
DL Chahar,27.4,allrounder,28.957442885460626,7
RR Sarwan,17.666666666666668,batsman,28.895117879272284,7
Dhruv Jurel,26.6,batsman,28.79147447009207,7
E Lewis,25.4,batsman,28.600122546389727,7
Yuvraj Singh,25.4,allrounder,28.600122546389727,7
KW Richardson,47.0,allrounder,28.54179115737278,7
SPD Smith,27.2,allrounder,28.481081925513617,7
AC Blizzard,27.2,batsman,28.481081925513617,7
KR Mayers,27.2,allrounder,28.481081925513617,7
HH Gibbs,24.6,batsman,28.417682655641638,7
SL Malinga,38.2,allrounder,28.384058433532545,7
RD Chahar,38.2,allrounder,28.384058433532545,7
T Stubbs,22.2,allrounder,28.31187383310561,7
PD Collingwood,22.2,allrounder,28.31187383310561,7
Mukesh Kumar,37.4,allrounder,28.187367435766387,7
YS Chahal,37.4,allrounder,28.187367435766387,7
JL Pattinson,42.0,allrounder,28.050037404167256,7
T Thushara,42.0,allrounder,28.050037404167256,7
JD Unadkat,42.0,allrounder,28.050037404167256,7
JA Richardson,25.666666666666668,allrounder,28.02195639327991,7
BJ Hodge,33.4,allrounder,28.02187700274146,7
A Zampa,36.6,allrounder,27.9410981453059,7
B Stanlake,36.6,allrounder,27.9410981453059,7
CR Woakes,36.6,allrounder,27.9410981453059,7
IC Pandey,36.6,allrounder,27.9410981453059,7
R Vinay Kumar,36.6,allrounder,27.9410981453059,7
JM Sharma,34.2,batsman,27.845969161566565,7
GHS Garton,20.75,allrounder,27.774705949314953,7
K Goel,1.2,allrounder,27.635970773177686,7
JP Inglis,42.8,batsman,27.522672988460528,7
KH Pandya,23.4,allrounder,27.446624458222416,7
DP Vijaykumar,12.0,allrounder,27.42953463854555,7
SS Cottrell,33.2,allrounder,27.387849596564482,7
NM Coulter-Nile,41.0,allrounder,27.37676173826175,7
SMSM Senanayake,28.2,allrounder,27.334023283447813,7
AC Gilchrist,40.0,allrounder,27.279930258342084,7
PP Chawla,37.0,allrounder,27.25772210378396,7
SB Styris,37.0,allrounder,27.25772210378396,7
CRD Fernando,37.0,allrounder,27.25772210378396,7
Naveen-ul-Haq,37.0,allrounder,27.25772210378396,7
JDS Neesham,37.0,allrounder,27.25772210378396,7
A Raghuvanshi,33.0,batsman,27.119701130333898,7
Swapnil Singh,20.8,allrounder,26.98744456695899,7
